resource_type,resource_name,user_id,timestamp,metadata
tableau,Reporting,willt,2/10/2026 16:41,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,Reporting,cheng-kail,2/10/2026 16:37,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
export,Export,khoamld,2/10/2026 16:34,"{""device_type"": ""laptop"", ""source_item"": ""export""}"
export,Export,khoamld,2/10/2026 16:34,"{""device_type"": ""laptop"", ""source_item"": ""export""}"
export,Export,khoamld,2/10/2026 16:34,"{""device_type"": ""laptop"", ""source_item"": ""export""}"
home,Game Dashboard,trieutq2,2/10/2026 16:33,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
home,Game Dashboard,trungnv,2/10/2026 16:28,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
tableau,Reporting,tuanhn2,2/10/2026 16:24,"{""folder"": ""A70 - Nghịch Thuỷ Hàn"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,A70 - Nghịch Thuỷ Hàn,tuanhn2,2/10/2026 16:24,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
realtime,Real-time Dashboard,kietlta,2/10/2026 16:06,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,hieptn,2/10/2026 16:01,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,hieptn,2/10/2026 16:01,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,hieptn,2/10/2026 16:00,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
export,Export,khoamld,2/10/2026 15:52,"{""device_type"": ""laptop"", ""source_item"": ""export""}"
home,Game Dashboard,khoamld,2/10/2026 15:52,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
realtime,Real-time Dashboard,kietlta,2/10/2026 15:46,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,kietlta,2/10/2026 15:46,"{""folder"": ""C06,C07 - Ballistar_TWID"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
home,Game Dashboard,trieutq2,2/10/2026 15:46,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
export,Export,thanhdm,2/10/2026 15:45,"{""device_type"": ""laptop"", ""source_item"": ""export""}"
home,Game Dashboard,thanhdm,2/10/2026 15:45,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
tableau,Reporting,willt,2/10/2026 15:44,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,Operation,thanhdm,2/10/2026 15:41,"{""folder"": ""661 - Play Together"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,661 - Play Together,thanhdm,2/10/2026 15:41,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
export,Export,thanhdm,2/10/2026 15:41,"{""device_type"": ""laptop"", ""source_item"": ""export""}"
home,Game Dashboard,thanhdm,2/10/2026 15:41,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
